Sample_name,ID,Method,Sex,Person,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30
Bboulengeri BM2000.474,474,ALPACA,Unkwn,Jake,0.072087387,0.008854374,0.036013011,0.003409545,-0.024124846,-0.050051514,-0.019459196,0.021387266,0.010236642,0.010647724,0.013447132,0.035656089,-0.048487948,0.007915768,0.011237835,-0.062846216,-0.041715961,-0.055908108,-0.011265813,-0.047501973,0.041444199,0.007744527,-0.096554039,0.039908636,-0.252636168,0.116961127,-0.006095428,0.115257245,-0.215318707,-0.047414533
Bboulengeri BM2000.476,476,ALPACA,Female,Jonathan,0.069472686,0.000703113,0.003193422,0.018549758,0.007237187,-0.056427443,-0.038647682,0.015422465,0.012915845,0.036384592,0.017034532,0.040406498,-0.040646343,-0.000295228,0.017531708,-0.046521959,-0.044320681,-0.065847746,-0.008553193,-0.047450087,0.043649317,0.00779686,-0.09571419,0.038638182,-0.251793546,0.117048766,-0.005999604,0.115758357,-0.215242941,-0.047414533
Bboulengeri BM2000.556,556,ALPACA,Male,Jonathan,0.055307079,0.037523472,-0.013153413,0.003334272,0.008141962,-0.06288448,-0.039559041,0.018165748,-0.00304038,0.030775002,0.009038055,0.045456563,-0.04616313,0.002717806,0.020044108,-0.056383342,-0.039436334,-0.055428791,-0.017329251,-0.044592643,0.039937933,0.007014827,-0.098826725,0.039489403,-0.250769495,0.118717077,-0.006559412,0.115265969,-0.214970155,-0.047414533
Bboulengeri BM2000.607,607,ALPACA,Female,Jonathan,0.077060047,0.008875877,0.013469541,0.015386887,0.000928612,-0.065698685,-0.042038072,-0.001225572,0.004424279,0.039503324,0.018989514,0.018685511,-0.037822718,0.003431678,0.015307684,-0.060481295,-0.042785762,-0.054572093,-0.014106381,-0.050352965,0.041224217,0.007409382,-0.095785139,0.040415035,-0.249769348,0.116700633,-0.005786416,0.115140451,-0.215062216,-0.047414533
Bboulengeri BM2000.611,611,ALPACA,Male,Jonathan,0.092672834,0.030989828,0.000732688,0.009977664,0.01123179,-0.042326633,-0.03884952,0.000879638,0.013277084,0.011648116,0.02206358,0.034149769,-0.034272437,-0.007433458,0.013734108,-0.053411025,-0.04050847,-0.054356296,-0.017187219,-0.04726473,0.038861615,0.011972601,-0.095115517,0.039351652,-0.252395899,0.117538504,-0.005935065,0.115826705,-0.214804281,-0.047414533
Bboulengeri BM2000.621,621,ALPACA,Female,Jonathan,0.052121741,0.014413751,-0.035063313,0.025197151,0.021469073,-0.070849895,-0.022553572,0.002335127,0.018518728,0.023687008,0.004280445,0.033702127,-0.048665319,0.005244026,0.014451356,-0.058664601,-0.039193773,-0.059933899,-0.013377027,-0.052141387,0.035560394,0.00751758,-0.09397361,0.03995168,-0.251902493,0.117795979,-0.006438915,0.115719772,-0.21534223,-0.047414533
Bboulengeri BM2000.629,629,ALPACA,Male,Calvin,0.039103721,0.06237586,-0.016669804,0.008965669,0.01337374,-0.036991971,-0.046713615,0.015540063,0.016415563,0.033367367,0.027934933,0.026069397,-0.045303681,0.019384161,0.019164473,-0.054664803,-0.03847602,-0.059774055,-0.015573945,-0.047807651,0.038917375,0.00966965,-0.096901283,0.039808906,-0.252720364,0.117226262,-0.00600116,0.11511132,-0.215317604,-0.047414533
Bboulengeri BM2002.789,789,ALPACA,Female,Calvin,0.083381743,0.023330838,0.035041713,0.000347575,-0.005573334,-0.053813207,-0.028802613,0.005308603,-0.00099115,0.022422765,0.020410223,0.037979617,-0.036492534,0.009400516,0.020643065,-0.048366722,-0.04118541,-0.058041358,-0.019996279,-0.051866279,0.036553609,0.004889927,-0.095189271,0.037404792,-0.251531764,0.116971171,-0.006491902,0.115493674,-0.215483237,-0.047414533
Bboulengeri BM2002.796,796,ALPACA,Male,Calvin,0.058548927,0.006930593,-0.004021144,0.011505331,-0.016591923,-0.080748504,-0.038898491,-0.002542074,-0.006177417,0.02287698,0.014131834,0.02508087,-0.037761111,0.001188784,0.024071783,-0.053981873,-0.032548702,-0.062515156,-0.014330032,-0.047103285,0.040220048,0.008525081,-0.096038007,0.039845771,-0.253585657,0.117499833,-0.006246825,0.114959849,-0.215144424,-0.047414533
Bboulengeri BM2002.797,797,ALPACA,Male,Calvin,0.06946151,0.037633356,0.00049802,0.019920539,0.002176597,-0.042630857,-0.041998376,0.006030126,0.000956076,0.023847432,0.014265732,0.040617833,-0.048344802,-0.005797802,0.024757035,-0.050403214,-0.04061839,-0.054772134,-0.012854569,-0.054471654,0.039410274,0.008402611,-0.097090017,0.042404967,-0.252159269,0.117045073,-0.005606472,0.114821602,-0.215545467,-0.047414533
Bboulengeri BM2002.800,800,ALPACA,Female,Calvin,-0.098447367,-0.024553306,0.007912699,0.005805146,0.005068491,-0.037956468,-0.027353543,0.005329467,0.002014829,0.026112952,0.014757836,0.034159173,-0.039966886,0.000343766,0.016776863,-0.053780572,-0.03765512,-0.057358448,-0.015719224,-0.048381201,0.03965653,0.008355081,-0.095729752,0.039605945,-0.251539904,0.117071594,-0.005845731,0.115364058,-0.2152429,-0.047414533
Bboulengeri BM2002.848,848,ALPACA,Female,Jake,0.072684407,0.02374238,0.008367555,-0.018781691,0.003084923,-0.053770637,-0.021111457,0.005591524,0.006295546,0.041231474,0.011528699,0.031866022,-0.056068137,0.000105577,0.017487813,-0.05347764,-0.037879035,-0.056452256,-0.018368835,-0.05073589,0.043320048,0.010233054,-0.09385861,0.037610173,-0.252372097,0.117999513,-0.005217105,0.115081883,-0.215238962,-0.047414533
